feature,logistic_coefficient,random_forest_importance
win_pct,0.3410371886846211,0.11258523560071965
run_diff_per_game,0.2355800015699115,0.14180539176304066
runs_per_game,-0.5600362814775148,0.10936439374983828
ops,0.9011926085113323,0.11438226595180408
home_runs_per_game,-0.7294584260926124,0.1028194237105323
stolen_bases_per_game,-0.029798159877794193,0.15616697434959476
era,0.20510975860900618,0.10892970103380663
whip,0.024831611297279753,0.15394661384066372
