yearID,teamID,name,W,L,world_series_winner,win_pct,run_diff_per_game,runs_per_game,ops,home_runs_per_game,stolen_bases_per_game,era,whip
2005,SLN,St. Louis Cardinals,100,62,0,0.6172839506172839,1.0555555555555556,4.969135802469136,0.761867650909635,1.0493827160493827,0.5123456790123457,3.49,1.2741526400737837
2005,CHA,Chicago White Sox,99,63,1,0.6111111111111112,0.5925925925925926,4.574074074074074,0.7472408064586809,1.2345679012345678,0.845679012345679,3.61,1.2543483171447933
2005,BOS,Boston Red Sox,95,67,0,0.5864197530864198,0.6481481481481481,5.617283950617284,0.8112038181960117,1.228395061728395,0.2777777777777778,4.74,1.3925822253324003
2005,LAA,Los Angeles Angels of Anaheim,95,67,0,0.5864197530864198,0.7283950617283951,4.697530864197531,0.7339181704917166,0.9074074074074074,0.9938271604938271,3.68,1.2715684042795357
2005,NYA,New York Yankees,95,67,0,0.5864197530864198,0.5987654320987654,5.469135802469136,0.8045699996274842,1.4135802469135803,0.5185185185185185,4.52,1.368592730661696
2005,ATL,Atlanta Braves,90,72,0,0.5555555555555556,0.5864197530864198,4.746913580246914,0.767622683120802,1.1358024691358024,0.5679012345679012,3.98,1.3902101131378435
2005,HOU,Houston Astros,89,73,0,0.5460122699386503,0.5153374233128835,4.251533742331288,0.7303460406983167,0.9877300613496932,0.7055214723926381,3.51,1.2307692307692308
2005,SDN,San Diego Padres,82,80,0,0.5061728395061729,-0.25925925925925924,4.222222222222222,0.7244304949690823,0.8024691358024691,0.6111111111111112,4.13,1.343334860284013
2006,NYA,New York Yankees,97,65,0,0.5987654320987654,1.0061728395061729,5.7407407407407405,0.8240503649558795,1.2962962962962963,0.8580246913580247,4.41,1.3569614407758024
2006,NYN,New York Mets,97,65,0,0.5987654320987654,0.6358024691358025,5.148148148148148,0.7795303249704987,1.2345679012345678,0.9012345679012346,4.14,1.3200273722627738
2006,MIN,Minnesota Twins,96,66,0,0.5925925925925926,0.7283950617283951,4.944444444444445,0.7714676004103516,0.8827160493827161,0.6234567901234568,3.95,1.2825382121352478
2006,DET,Detroit Tigers,95,67,0,0.5864197530864198,0.9074074074074074,5.074074074074074,0.7773824949317627,1.2530864197530864,0.37037037037037035,3.84,1.3183701657458564
2006,OAK,Oakland Athletics,93,69,0,0.5740740740740741,0.2716049382716049,4.7592592592592595,0.7519496628691003,1.0802469135802468,0.3765432098765432,4.21,1.4149253731343283
2006,LAN,Los Angeles Dodgers,88,74,0,0.5432098765432098,0.42592592592592593,5.061728395061729,0.7807737544892478,0.9444444444444444,0.7901234567901234,4.23,1.3805067336224608
2006,SDN,San Diego Padres,88,74,0,0.5432098765432098,0.32098765432098764,4.512345679012346,0.7486902734631593,0.9938271604938271,0.7592592592592593,3.87,1.265998633568663
2006,SLN,St. Louis Cardinals,83,78,1,0.515527950310559,0.11801242236024845,4.850931677018633,0.7687070137625407,1.1428571428571428,0.36645962732919257,4.54,1.384238750291443
2007,BOS,Boston Red Sox,96,66,1,0.5925925925925926,1.2962962962962963,5.351851851851852,0.8056962936779126,1.0246913580246915,0.5925925925925926,3.87,1.273401297497683
2007,CLE,Cleveland Indians,96,66,0,0.5925925925925926,0.6604938271604939,5.006172839506172,0.7710114180471349,1.0987654320987654,0.4444444444444444,4.05,1.318824065633546
2007,LAA,Los Angeles Angels of Anaheim,94,68,0,0.5802469135802469,0.5617283950617284,5.074074074074074,0.7618086615987799,0.7592592592592593,0.8580246913580247,4.23,1.3637630662020905
2007,NYA,New York Yankees,94,68,0,0.5802469135802469,1.1790123456790123,5.9753086419753085,0.8289114898298733,1.2407407407407407,0.7592592592592593,4.49,1.431066176470588
