model,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc
Baseline (best win percentage),0.9032258064516129,0.6736842105263158,0.4,0.4,0.4,0.6631578947368422,0.3436224489795918
Logistic regression,0.8709677419354839,0.5649122807017544,0.2,0.2,0.2,0.6912280701754386,0.20433566433566433
Random forest,0.8387096774193549,0.45614035087719296,0.0,0.0,0.0,0.6350877192982456,0.1496427218102095
